index,account,company_name,company_address,company_ph,company_primary_domain,company_revenue,operating_income,net_income,net_income_trend,total_assets,retained_earnings,employees_list
45,UNILEVER UK LIMITED,Unilever plc,"['Unilever House, Blackfriars', 'EC4P 4BQ', 'United Kingdom']",['+44.20.78225252'],https://www.unilever.co.uk/,"['50,724.00']","['8,323.00']","5,581.00","['5,581.00', '5,625.00', '9,369.00']","67,659.00","(50,997.00)","{0: {'first_name': ['Nils'], 'middle_name': ['Smedegaard'], 'last_name': ['Andersen'], 'designation': 'Non-Executive Independent Chairman of the Board'}, 1: {'first_name': ['Alan'], 'middle_name': [], 'last_name': ['Jope'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Youngme'], 'middle_name': ['E.'], 'last_name': ['Moon'], 'designation': 'Non-Executive Vice Chairman of the Board, Senior Independent Director'}, 3: {'first_name': ['Graeme'], 'middle_name': ['David'], 'last_name': ['Pitkethly'], 'designation': 'Chief Financial Officer, Executive Director'}, 4: {'first_name': ['Hanneke'], 'middle_name': [], 'last_name': ['Faber'], 'designation': 'President - Foods & Refreshment'}, 5: {'first_name': ['Fabian'], 'middle_name': ['T.'], 'last_name': ['Garcia'], 'designation': 'President - North America'}, 6: {'first_name': ['Sunny'], 'middle_name': [], 'last_name': ['Jain'], 'designation': 'President - Beauty & Personal Care'}, 7: {'first_name': ['Sanjiv'], 'middle_name': [], 'last_name': ['Mehta'], 'designation': 'President - Unilever South Asia and Chairman and Managing Director - Hindustan Unilever'}, 8: {'first_name': ['Peter'], 'middle_name': ['Frank', 'ter'], 'last_name': ['Kulve'], 'designation': 'President - Home Care'}, 9: {'first_name': ['Nitin'], 'middle_name': [], 'last_name': ['Paranjpe'], 'designation': 'Chief Operating Officer'}, 10: {'first_name': ['Leena'], 'middle_name': [], 'last_name': ['Nair'], 'designation': 'Chief Human Resources Officer'}, 11: {'first_name': ['Conny'], 'middle_name': [], 'last_name': ['Braams'], 'designation': 'Chief Digital & Marketing Officer'}, 12: {'first_name': ['Marc'], 'middle_name': [], 'last_name': ['Engel'], 'designation': 'Chief Supply Chain Officer'}, 13: {'first_name': ['Richard'], 'middle_name': [], 'last_name': ['Slater'], 'designation': 'Chief Research & Development Officer'}, 14: {'first_name': ['Ritva'], 'middle_name': [], 'last_name': ['Sotamaa'], 'designation': 'Group Secretary, Chief Legal Officer'}, 15: {'first_name': ['Laura'], 'middle_name': ['M.'], 'last_name': ['Cha'], 'designation': 'Non-Executive Independent Director'}, 16: {'first_name': ['Judith'], 'middle_name': [], 'last_name': ['Hartmann'], 'designation': 'Non-Executive Independent Director'}, 17: {'first_name': ['Andrea'], 'middle_name': [], 'last_name': ['Jung'], 'designation': 'Non-Executive Independent Director'}, 18: {'first_name': ['Susan'], 'middle_name': ['Saltzbart'], 'last_name': ['Kilsby'], 'designation': 'Non-Executive Independent Director'}, 19: {'first_name': ['Strive'], 'middle_name': ['T.'], 'last_name': ['Masiyiwa'], 'designation': 'Non-Executive Independent Director'}, 20: {'first_name': ['John'], 'middle_name': [], 'last_name': ['Rishton'], 'designation': 'Non-Executive Independent Director'}, 21: {'first_name': ['Feike'], 'middle_name': [], 'last_name': ['Sijbesma'], 'designation': 'Non-Executive Independent Director'}}"
46,MARKS AND SPENCER GROUP P.L.C.,Marks & Spencer Group plc,"['Waterside House, 35 North Wharf Road', 'W2 1NW', 'United Kingdom']",['+44.20.79354422'],https://corporate.marksandspencer.com/,"['9,144.50']",['(37.50)'],(198.00),"['(198.00)', '23.70', '41.70']","8,637.40",993.50,"{0: {'first_name': ['Archie'], 'middle_name': [], 'last_name': ['Norman'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Steve'], 'middle_name': [], 'last_name': ['Rowe'], 'designation': 'Chief Executive, Executive Director'}, 2: {'first_name': ['Eoin'], 'middle_name': ['P.'], 'last_name': ['Tonge'], 'designation': 'Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Mel'], 'middle_name': [], 'last_name': ['Smith'], 'designation': 'Director - Strategy, Chief Executive of Ocado Retail Limited'}, 4: {'first_name': ['Nick'], 'middle_name': [], 'last_name': ['Folland'], 'designation': 'Group General Counsel, Company Secretary'}, 5: {'first_name': ['Stuart'], 'middle_name': ['B.'], 'last_name': ['Machin'], 'designation': 'Managing Director - Food'}, 6: {'first_name': ['Harriet'], 'middle_name': [], 'last_name': ['Hounsell'], 'designation': 'Human Resources Director'}, 7: {'first_name': ['Sacha'], 'middle_name': [], 'last_name': ['Berendji'], 'designation': 'Director - Retail, Operations and Property'}, 8: {'first_name': ['Katie'], 'middle_name': [], 'last_name': ['Bickerstaffe'], 'designation': 'Chief Strategy and Transformation Director'}, 9: {'first_name': ['Paul'], 'middle_name': [], 'last_name': ['Friston'], 'designation': 'Director - International'}, 10: {'first_name': ['Victoria'], 'middle_name': [], 'last_name': ['McKenzie-Gould'], 'designation': 'Director - Communications'}, 11: {'first_name': ['Jeremy'], 'middle_name': [], 'last_name': ['Pee'], 'designation': 'Chief Digital and Data Director'}, 12: {'first_name': ['Evelyn'], 'middle_name': [], 'last_name': ['Bourke'], 'designation': 'Non-Executive Director'}, 13: {'first_name': ['Fiona'], 'middle_name': [], 'last_name': ['Dawson'], 'designation': 'Non-Executive Director'}, 14: {'first_name': ['Andrew'], 'middle_name': [], 'last_name': ['Fisher'], 'designation': 'Independent Non-Executive Director'}, 15: {'first_name': ['Andrew'], 'middle_name': ['Nigel'], 'last_name': ['Halford'], 'designation': 'Senior Non-Executive Independent Director'}, 16: {'first_name': ['Tamara'], 'middle_name': [], 'last_name': ['Ingram'], 'designation': 'Independent Non-Executive Director'}, 17: {'first_name': ['Justin'], 'middle_name': ['M.'], 'last_name': ['King'], 'designation': 'Independent Non-Executive Director'}, 18: {'first_name': ['Sapna'], 'middle_name': [], 'last_name': ['Sood'], 'designation': 'Independent Non-Executive Director'}}"
47,DEUTSCHE BANK AKTIENGESELLSCHAFT,Deutsche Bank AG,,,,,,,,,,
48,ORACLE CORPORATION UK LIMITED,Oracle Corporation,"['500 Oracle Pkwy', 'REDWOOD CITY, CA', '94065-1677', 'United States']",['+1.650.5067000'],https://www.oracle.com/,"['39,068.00']","['13,896.00']","10,135.00","['10,135.00', '11,083.00', '3,587.00']","115,438.00","(12,696.00)","{0: {'first_name': ['Lawrence'], 'middle_name': ['J.'], 'last_name': ['Ellison'], 'designation': 'Executive Chairman of the Board, Founder, Chief Technology Officer'}, 1: {'first_name': ['William'], 'middle_name': ['Corey'], 'last_name': ['West'], 'designation': 'Executive Vice President, Chief Accounting Officer, Corporate Controller'}, 2: {'first_name': ['Dorian'], 'middle_name': ['E.'], 'last_name': ['Daley'], 'designation': 'Executive Vice President, General Counsel'}, 3: {'first_name': ['Edward'], 'middle_name': [], 'last_name': ['Screven'], 'designation': 'Executive Vice President, Chief Corporate Architect'}, 4: {'first_name': ['Safra'], 'middle_name': ['A.'], 'last_name': ['Catz'], 'designation': 'Chief Executive Officer, Director'}, 5: {'first_name': ['Jeffrey'], 'middle_name': ['O.'], 'last_name': ['Henley'], 'designation': 'Vice Chairman of the Board'}, 6: {'first_name': ['Vishal'], 'middle_name': [], 'last_name': ['Sikka'], 'designation': 'Director'}, 7: {'first_name': ['Jeffrey'], 'middle_name': ['S.'], 'last_name': ['Berg'], 'designation': 'Independent Director'}, 8: {'first_name': ['Michael'], 'middle_name': ['J.'], 'last_name': ['Boskin'], 'designation': 'Independent Director'}, 9: {'first_name': ['Bruce'], 'middle_name': ['R.'], 'last_name': ['Chizen'], 'designation': 'Independent Director'}, 10: {'first_name': ['George'], 'middle_name': ['H.'], 'last_name': ['Conrades'], 'designation': 'Independent Director'}, 11: {'first_name': ['Rona'], 'middle_name': ['A.'], 'last_name': ['Fairhead'], 'designation': 'Independent Director'}, 12: {'first_name': ['Renee'], 'middle_name': ['J.'], 'last_name': ['James'], 'designation': 'Independent Director'}, 13: {'first_name': ['Charles'], 'middle_name': ['W.'], 'last_name': ['Moorman'], 'designation': 'Independent Director'}, 14: {'first_name': ['Leon'], 'middle_name': ['E.'], 'last_name': ['Panetta'], 'designation': 'Independent Director'}, 15: {'first_name': ['William'], 'middle_name': ['G.'], 'last_name': ['Parrett'], 'designation': 'Independent Director'}, 16: {'first_name': ['Naomi'], 'middle_name': ['O.'], 'last_name': ['Seligman'], 'designation': 'Independent Director'}}"
49,COLT TECHNOLOGY SERVICES GROUP LIMITED,Colt Technology Services Group Limited,,,,,,,,,,
50,DYSON INTERNATIONAL LIMITED,Dyson Ltd.,,,,,,,,,,
51,NATIONAL GRID GAS PLC,National Grid plc,"['1-3 Strand', 'WC2N 5EH', 'United Kingdom']",['+44.20.70043220'],https://www.nationalgrid.com/,"['14,779.00']","['2,895.00']","1,640.00","['1,640.00', '1,264.00', '1,511.00']","67,216.00","23,163.00","{0: {'first_name': ['Peter'], 'middle_name': [], 'last_name': ['Gershon'], 'designation': 'Non-Executive Independent Chairman of the Board'}, 1: {'first_name': ['Paula'], 'middle_name': ['Rosput'], 'last_name': ['Reynolds'], 'designation': 'Chairman of the Board'}, 2: {'first_name': ['John'], 'middle_name': [], 'last_name': ['Pettigrew'], 'designation': 'Chief Executive Officer, Executive Director'}, 3: {'first_name': ['Andy'], 'middle_name': [], 'last_name': ['Agg'], 'designation': 'Chief Financial Officer, Executive Director'}, 4: {'first_name': ['Badar'], 'middle_name': [], 'last_name': ['Khan'], 'designation': 'President - National Grid US'}, 5: {'first_name': ['Andy'], 'middle_name': [], 'last_name': ['Doyle'], 'designation': 'Chief Human Resource Officer'}, 6: {'first_name': ['Adriana'], 'middle_name': [], 'last_name': ['Karaboutis'], 'designation': 'Group Chief Information and Digital Officer'}, 7: {'first_name': ['Justine'], 'middle_name': [], 'last_name': ['Campbell'], 'designation': 'Group General Counsel, Company Secretary'}, 8: {'first_name': ['Jonathan'], 'middle_name': [], 'last_name': ['Butterworth'], 'designation': 'Managing Director - National Grid Ventures'}, 9: {'first_name': ['Lucy'], 'middle_name': ['Nicola'], 'last_name': ['Shaw'], 'designation': 'Executive Director, UK'}, 10: {'first_name': ['Barney'], 'middle_name': [], 'last_name': ['Wyld'], 'designation': 'Group Corporate Affairs Director'}, 11: {'first_name': ['Jonathan'], 'middle_name': ['D.', 'S.'], 'last_name': ['Dawson'], 'designation': 'Non-Executive Independent Director'}, 12: {'first_name': ['Therese'], 'middle_name': [], 'last_name': ['Esperdy'], 'designation': 'Non-Executive Independent Director'}, 13: {'first_name': ['Paul'], 'middle_name': [], 'last_name': ['Golby'], 'designation': 'Non-Executive Independent Director'}, 14: {'first_name': ['Liz'], 'middle_name': [], 'last_name': ['Hewitt'], 'designation': 'Non-Executive Independent Director'}, 15: {'first_name': ['Amanda'], 'middle_name': ['J.'], 'last_name': ['Mesler'], 'designation': 'Non-Executive Independent Director'}, 16: {'first_name': ['Earl'], 'middle_name': ['L.'], 'last_name': ['Shipp'], 'designation': 'Non-Executive Independent Director'}, 17: {'first_name': ['Jonathan'], 'middle_name': [], 'last_name': ['Silver'], 'designation': 'Non-Executive Independent Director'}, 18: {'first_name': ['Mark'], 'middle_name': ['David'], 'last_name': ['Williamson'], 'designation': 'Senior Non-Executive Independent Director'}}"
52,BANK OF ENGLAND,Governor and Company of the Bank of England,,,,,,,,,,
53,BREWIN DOLPHIN LIMITED,Brewin Dolphin plc,"['12 Smithfield Street', 'EC1A 9LA', 'United Kingdom']",['+44.20.72484400'],https://www.brewin.co.uk/,['361.45'],['63.79'],47.96,"['47.96', '48.07', '53.50']",672.70,298.90,"{0: {'first_name': ['Toby'], 'middle_name': ['E.'], 'last_name': ['Strauss'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Robin'], 'middle_name': [], 'last_name': ['Beer'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Siobhan'], 'middle_name': [], 'last_name': ['Boylan'], 'designation': 'Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Sarah'], 'middle_name': [], 'last_name': ['Houlston'], 'designation': 'Chief Operating Officer'}, 4: {'first_name': ['Susan'], 'middle_name': ['L.'], 'last_name': ['Beckett'], 'designation': 'Chief Risk Officer'}, 5: {'first_name': ['Charles'], 'middle_name': [], 'last_name': ['Ferry'], 'designation': 'Managing Director of Wealth and Investment, Executive Director'}, 6: {'first_name': ['Nick'], 'middle_name': [], 'last_name': ['Fitzgerald'], 'designation': 'Managing Director of Advice and Innovation'}, 7: {'first_name': ['Richard'], 'middle_name': [], 'last_name': ['Buxton'], 'designation': 'Group People and Sustainability Director'}, 8: {'first_name': ['Tiffany'], 'middle_name': [], 'last_name': ['Brill'], 'designation': 'Company Secretary'}, 9: {'first_name': ['Pars'], 'middle_name': [], 'last_name': ['Purewal'], 'designation': 'Non-Executive Director'}, 10: {'first_name': ['Ian'], 'middle_name': ['Andrew'], 'last_name': ['Dewar'], 'designation': 'Senior Independent Non-Executive Director'}, 11: {'first_name': ['Michael'], 'middle_name': [], 'last_name': ['Kellard'], 'designation': 'Non-Executive Independent Director'}, 12: {'first_name': ['Phillip'], 'middle_name': [], 'last_name': ['Monks'], 'designation': 'Non-Executive Independent Director'}, 13: {'first_name': ['Caroline'], 'middle_name': [], 'last_name': ['Taylor'], 'designation': 'Non-Executive Independent Director'}}"
54,MICROSOFT LIMITED,Microsoft Corporation,,,,,,,,,,
55,HOGAN LOVELLS INTERNATIONAL LLP,Hogan Lovells,,,,,,,,,,
56,LONDON STOCK EXCHANGE GROUP HOLDINGS LIMITED,London Stock Exchange Group plc,"['10 Paternoster Square', 'EC4M 7LS', 'United Kingdom']",['+44.20.77971000'],https://www.lseg.com/,"['2,444.00']",['742.00'],421.00,"['421.00', '417.00', '480.00']","849,141.00","2,716.00","{0: {'first_name': ['Donald'], 'middle_name': [], 'last_name': ['Robert'], 'designation': 'Independent Non-Executive Chair of the Board'}, 1: {'first_name': ['David'], 'middle_name': [], 'last_name': ['Schwimmer'], 'designation': 'Group Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Anna'], 'middle_name': [], 'last_name': ['Manz'], 'designation': 'Group Chief Financial Officer, Executive Director'}, 3: {'first_name': ['David'], 'middle_name': ['William', 'Ian'], 'last_name': ['Craig'], 'designation': 'Chief Executive Officer - Refinitiv, Group Head, Data & Analytics'}, 4: {'first_name': ['Daniel'], 'middle_name': [], 'last_name': ['Maguire'], 'designation': 'Group Head, Post Trade & Chief Executive Officer of LCH Group'}, 5: {'first_name': ['David'], 'middle_name': [], 'last_name': ['Shalders'], 'designation': 'Group Chief Operating Officer, Chief Integration Officer'}, 6: {'first_name': ['Anthony'], 'middle_name': [], 'last_name': ['Mccarthy'], 'designation': 'Group Chief Information Officer'}, 7: {'first_name': ['Brigitte'], 'middle_name': [], 'last_name': ['Trafford'], 'designation': 'Chief Communications and Marketing Officer'}, 8: {'first_name': ['Balbir'], 'middle_name': [], 'last_name': ['Bakhshi'], 'designation': 'Chief Risk Officer'}, 9: {'first_name': ['Catherine'], 'middle_name': [], 'last_name': ['Johnson'], 'designation': 'General Counsel'}, 10: {'first_name': ['Tim'], 'middle_name': [], 'last_name': ['Jones'], 'designation': 'Chief People Officer'}, 11: {'first_name': ['Murray'], 'middle_name': [], 'last_name': ['Roos'], 'designation': 'Group Head - Capital Markets'}, 12: {'first_name': ['Andrea'], 'middle_name': ['Remyn'], 'last_name': ['Stone'], 'designation': 'Chief Product Officer, Data & Analytics'}, 13: {'first_name': ['Debra'], 'middle_name': [], 'last_name': ['Walton'], 'designation': 'Chief Revenue Officer, Data & Analytics'}, 14: {'first_name': ['Lisa'], 'middle_name': ['M.'], 'last_name': ['Condron'], 'designation': 'Group Company Secretary'}, 15: {'first_name': ['Martin'], 'middle_name': ['J.'], 'last_name': ['Brand'], 'designation': 'Non-Executive Director'}, 16: {'first_name': ['Erin'], 'middle_name': [], 'last_name': ['Brown'], 'designation': 'Non-Executive Director'}, 17: {'first_name': ['Douglas'], 'middle_name': ['M.'], 'last_name': ['Steenland'], 'designation': 'Non-Executive Director'}, 18: {'first_name': ['Jacques'], 'middle_name': [], 'last_name': ['Aigrain'], 'designation': 'Non-Executive Independent Director'}, 19: {'first_name': ['Dominic'], 'middle_name': [], 'last_name': ['Blakemore'], 'designation': 'Non-Executive Independent Director'}, 20: {'first_name': ['Kathleen'], 'middle_name': ['T.'], 'last_name': ['Derose'], 'designation': 'Non-Executive Independent Director'}, 21: {'first_name': ['Cressida'], 'middle_name': ['M.'], 'last_name': ['Hogg'], 'designation': 'Non-Executive Independent Director'}, 22: {'first_name': ['Stephen'], 'middle_name': [], 'last_name': [""O'connor""], 'designation': 'Senior Non-Executive Independent Director'}, 23: {'first_name': ['Valerie'], 'middle_name': [], 'last_name': ['Rahmani'], 'designation': 'Non-Executive Independent Director'}}"
57,MITIE LIMITED,Mitie Group PLC,"['Level 12, The Shard, 32 London Bridge St', 'SE1 9SG', 'United Kingdom']",['+null.44.3306780710'],https://www.mitie.com/,"['2,173.70']",['64.60'],90.50,"['90.50', '30.90', '(27.10)']","1,042.80",(24.80),"{0: {'first_name': ['Derek'], 'middle_name': [], 'last_name': ['Mapp'], 'designation': 'Non-Executive Independent Chairman of the Board'}, 1: {'first_name': ['Phil'], 'middle_name': [], 'last_name': ['Bentley'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Andrew'], 'middle_name': [], 'last_name': ['Peeler'], 'designation': 'Group Chief Financial Officer, Executive Director'}, 3: {'first_name': ['Simon'], 'middle_name': [], 'last_name': ['Kirkpatrick'], 'designation': 'Group Chief Financial Officer'}, 4: {'first_name': ['Peter'], 'middle_name': [], 'last_name': ['Dickinson'], 'designation': 'Chief of Staff, General Counsel & Company Secretary'}, 5: {'first_name': ['Nivedita'], 'middle_name': ['Krishnamurthy'], 'last_name': ['Bhagat'], 'designation': 'Non-Executive Independent Director'}, 6: {'first_name': ['Philippa'], 'middle_name': [], 'last_name': ['Couttie'], 'designation': 'Non-Executive Independent Director'}, 7: {'first_name': ['Jennifer'], 'middle_name': [], 'last_name': ['Duvalier'], 'designation': 'Non-Executive Independent Director'}, 8: {'first_name': ['Mary'], 'middle_name': [], 'last_name': ['Reilly'], 'designation': 'Non-Executive Independent Director'}, 9: {'first_name': ['Roger'], 'middle_name': [], 'last_name': ['Yates'], 'designation': 'Senior Non-Executive Independent Director'}}"
58,ADMIRAL GROUP PLC,Admiral Group plc,,,,,,,,,,
59,CREDIT SUISSE AG,Credit Suisse Group AG,,,,,,,,,,
60,JOHNSON MATTHEY PLC,Johnson Matthey plc,"['5th Fl, 25 Farringdon Street', 'EC4A 4AB', 'United Kingdom']",['+44.20.72698400'],https://matthey.com/,"['15,673.00']",['323.00'],205.00,"['205.00', '255.00', '413.00']","7,744.00","2,345.00","{0: {'first_name': ['Patrick'], 'middle_name': ['Webster'], 'last_name': ['Thomas'], 'designation': 'Non-Executive Chairman of the Board'}, 1: {'first_name': ['Robert'], 'middle_name': [], 'last_name': ['Macleod'], 'designation': 'Chief Executive, Executive Director'}, 2: {'first_name': ['Karen'], 'middle_name': [], 'last_name': ['Hayzen-Smith'], 'designation': 'Interim Chief Financial Officer, Group Financial Controller'}, 3: {'first_name': ['Stephen'], 'middle_name': [], 'last_name': ['Oxley'], 'designation': 'Chief Financial Officer'}, 4: {'first_name': ['Joan'], 'middle_name': [], 'last_name': ['Braca'], 'designation': 'Sector Chief Executive - Clean Air'}, 5: {'first_name': ['Christian'], 'middle_name': [], 'last_name': ['Gunther'], 'designation': 'Chief Executive - Battery Materials'}, 6: {'first_name': ['Jane'], 'middle_name': [], 'last_name': ['Toogood'], 'designation': 'Sector Chief Executive - Efficient Natural Resources'}, 7: {'first_name': ['Annette'], 'middle_name': [], 'last_name': ['Kelleher'], 'designation': 'Chief Human Resource Officer'}, 8: {'first_name': ['Maurits'], 'middle_name': ['Van'], 'last_name': ['Tol'], 'designation': 'Chief Technology Officer'}, 9: {'first_name': ['Nick'], 'middle_name': [], 'last_name': ['Cooper'], 'designation': 'General Counsel, Company Secretary'}, 10: {'first_name': ['Alan'], 'middle_name': ['Murray'], 'last_name': ['Ferguson'], 'designation': 'Senior Independent Non-Executive Director'}, 11: {'first_name': ['Jane'], 'middle_name': ['Veronica'], 'last_name': ['Griffiths'], 'designation': 'Non-Executive Independent Director'}, 12: {'first_name': ['Xiaozhi'], 'middle_name': [], 'last_name': ['Liu'], 'designation': 'Non-Executive Independent Director'}, 13: {'first_name': ['Christopher'], 'middle_name': ['John'], 'last_name': ['Mottershead'], 'designation': 'Non-Executive Independent Director'}, 14: {'first_name': ['John'], 'middle_name': ['E.'], 'last_name': [""O'Higgins""], 'designation': 'Senior Non-Executive Independent Director'}, 15: {'first_name': ['Douglas'], 'middle_name': ['Russell'], 'last_name': ['Webb'], 'designation': 'Non-Executive Independent Director'}}"
61,MORGAN STANLEY & CO. INTERNATIONAL PLC,Morgan Stanley,"['1585 Broadway', 'NEW YORK, NY', '10036-8200', 'United States']",['+1.212.7614000'],https://www.morganstanley.com/,"['52,047.00']","['14,418.00']","10,996.00","['10,996.00', '9,042.00', '8,748.00']","1,115,862.00","78,694.00","{0: {'first_name': ['James'], 'middle_name': ['P.'], 'last_name': ['Gorman'], 'designation': 'Chairman of the Board, Chief Executive Officer'}, 1: {'first_name': ['Edward'], 'middle_name': ['N.'], 'last_name': ['Pick'], 'designation': 'Co-President'}, 2: {'first_name': ['Andrew'], 'middle_name': ['M.'], 'last_name': ['Saperstein'], 'designation': 'Co-President'}, 3: {'first_name': ['Jonathan'], 'middle_name': ['M.'], 'last_name': ['Pruzan'], 'designation': 'Chief Operating Officer'}, 4: {'first_name': ['Mandell'], 'middle_name': ['L.'], 'last_name': ['Crawley'], 'designation': 'Chief Human Resource Officer'}, 5: {'first_name': ['Keishi'], 'middle_name': [], 'last_name': ['Hotsuki'], 'designation': 'Executive Vice President, Chief Risk Officer'}, 6: {'first_name': ['Eric'], 'middle_name': ['Fredric'], 'last_name': ['Grossman'], 'designation': 'Executive Vice President, Chief Legal Officer'}, 7: {'first_name': ['Robert'], 'middle_name': ['P.'], 'last_name': ['Rooney'], 'designation': 'Head of Technology - Operations and Firm Resilience'}, 8: {'first_name': ['Daniel'], 'middle_name': ['A.'], 'last_name': ['Simkowitz'], 'designation': 'Head of Investment Management'}, 9: {'first_name': ['Thomas'], 'middle_name': ['Henry'], 'last_name': ['Glocer'], 'designation': 'Independent Lead Director'}, 10: {'first_name': ['Nobuyuki'], 'middle_name': [], 'last_name': ['Hirano'], 'designation': 'Director'}, 11: {'first_name': ['Hironori'], 'middle_name': [], 'last_name': ['Kamezawa'], 'designation': 'Director'}, 12: {'first_name': ['Elizabeth'], 'middle_name': ['P.L.'], 'last_name': ['Corley'], 'designation': 'Independent Director'}, 13: {'first_name': ['Alistair'], 'middle_name': [], 'last_name': ['Darling'], 'designation': 'Independent Director'}, 14: {'first_name': ['Robert'], 'middle_name': ['H.'], 'last_name': ['Herz'], 'designation': 'Independent Director'}, 15: {'first_name': ['Shelley'], 'middle_name': ['B.'], 'last_name': ['Leibowitz'], 'designation': 'Independent Director'}, 16: {'first_name': ['Stephen'], 'middle_name': ['J.'], 'last_name': ['Luczo'], 'designation': 'Independent Director'}, 17: {'first_name': ['Judith'], 'middle_name': ['A.'], 'last_name': ['Miscik'], 'designation': 'Independent Director'}, 18: {'first_name': ['Dennis'], 'middle_name': ['M.'], 'last_name': ['Nally'], 'designation': 'Independent Director'}, 19: {'first_name': ['Mary'], 'middle_name': ['L.'], 'last_name': ['Schapiro'], 'designation': 'Independent Director'}, 20: {'first_name': ['Perry'], 'middle_name': ['M.'], 'last_name': ['Traquina'], 'designation': 'Independent Director'}, 21: {'first_name': ['Rayford'], 'middle_name': [], 'last_name': ['Wilkins'], 'designation': 'Independent Director'}}"
62,KINGFISHER PLC,Kingfisher plc,"['3 Sheldon Square', 'W2 6PX', 'United Kingdom']",['+44.20.73728008'],https://www.kingfisher.com/,"['12,343.00']",['916.00'],592.00,"['592.00', '8.00', '193.00']","12,269.00","3,832.00","{0: {'first_name': ['Andrew'], 'middle_name': [], 'last_name': ['Cosslett'], 'designation': 'Independent Non-Executive Chairman of the Board'}, 1: {'first_name': ['Thierry'], 'middle_name': [], 'last_name': ['Garnier'], 'designation': 'Chief Executive Officer, Executive Director'}, 2: {'first_name': ['Bernard'], 'middle_name': ['L.'], 'last_name': ['Bot'], 'designation': 'Chief Financial Officer, Executive Director'}, 3: {'first_name': ['John'], 'middle_name': [], 'last_name': ['Mewett'], 'designation': 'CEO Screwfix'}, 4: {'first_name': ['Kate'], 'middle_name': [], 'last_name': ['Seljeflot'], 'designation': 'Chief People Officer'}, 5: {'first_name': ['Henri'], 'middle_name': [], 'last_name': ['Solere'], 'designation': 'Chief Offer and Sourcing Officer'}, 6: {'first_name': ['Paul'], 'middle_name': [], 'last_name': ['Moore'], 'designation': 'Group Company Secretary'}, 7: {'first_name': ['Tony'], 'middle_name': [], 'last_name': ['Buffin'], 'designation': 'Non-Executive Director'}, 8: {'first_name': ['Claudia'], 'middle_name': ['I.'], 'last_name': ['Arney'], 'designation': 'Non-Executive Independent Director'}, 9: {'first_name': ['Catherine'], 'middle_name': ['Annick', 'Caroline'], 'last_name': ['Bradley'], 'designation': 'Senior Independent Non-Executive Director'}, 10: {'first_name': ['Jeff'], 'middle_name': [], 'last_name': ['Carr'], 'designation': 'Non-Executive Independent Director'}, 11: {'first_name': ['Sophie'], 'middle_name': ['A.'], 'last_name': ['Gasperment'], 'designation': 'Non-Executive Independent Director'}, 12: {'first_name': ['Rakhi'], 'middle_name': [], 'last_name': ['Goss-Custard'], 'designation': 'Non-Executive Independent Director'}}"
63,NORTON ROSE FULBRIGHT LLP,Norton Rose Fulbright,,,,,,,,,,
64,BAE SYSTEMS PLC,BAE Systems plc,,,,,,,,,,
65,POST OFFICE LIMITED,Post Office Ltd,,,,,,,,,,
66,BARCLAYS INVESTMENT SOLUTIONS LIMITED,Barclays Investment Bank,,,,,,,,,,
67,YORKSHIRE BUILDING SOCIETY,Yorkshire Building Society,,,,,,,,,,
